高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
梳妆用的起居楼里挂着翠绿帷幔似乎把春色留住了，而舞蹈唱戏的阁楼下摆放着整齐的座椅。	妆楼翠幌教春住	百曲迷楼春不住	朱楼翠馆春先醉	妆楼翠幕春无数
如刀渔船拨开莲叶荡出荷花丛中。	渔舠如叶出花中	渔舟隐见花间出	渔舠轾小不如叶	却在渔舟一叶中
曾看到飞燕被汉帝打入冷宫。	曾窥飞燕入昭阳	尚疑飞燕舞昭阳	飞入昭阳作燕泥	昭阳燕子一双飞
只教人想念那平原君。	今人却忆平原君	今后令人常忆处	今人痛恨是平原	傥忆平生故人否
无力地卧在花丛，将息带醉的身躯。	映叶多情隐羞面	多情欲著红妆面	林叶犹妆两面红	多情落日正含羞
朝廷制定的国家大计颠倒，四海飘摇，安史之乱所留下的民生调敝的残破混乱局面持续了五十年。	五十年来作疮痏	五十年来渤海滨	四十年来无此作	五十年来老病愁
项羽于乌江狠心自刎而去。	乌江项籍忍归去	渡江归去莫终淹	长江归去又骑驴	乌孙归去各封汗
当时冤枉杀死画工毛延寿。	当时枉杀毛延寿	当时岂止毛延寿	后人却恨毛延寿	无端当日毛延寿
落叶也不对秋风的凋残表示埋怨。	木不怨落于秋天	秋风落木秋天高	木落山寒不肯秋	霜清木落九秋天
贫家的女儿不识绮罗的芳香。	蓬门未识绮罗香	到死不知罗绮香	寒门未识绮罗香	一生未识绮罗香
树上红花一朵朵地迎着朝露绽开。	红树花迎晓露开	红白交开树树花	花带溪头晓露开	桃花迎露开偏早
故意从檐下滴成一层珠帘，遮住那千峰万崖。	千峰故隔一帘珠	幽明不隔千峰耸	千峰中断一江遥	一把珠帘隔远山
结果，他葬在九疑山内，因山中九首皆相似。	九疑联绵皆相似	都峤联绵似九疑	十二依稀似九疑	九疑有恨都相似
敌兵滚滚而来，犹如黑云翻卷，想要摧倒城墙。	黑云压城城欲摧	黑帐压城如黑云	黑云低压古城壕	黑云欲压边城堕
把小船停放拴在岸边的古木树荫下。	古木阴中系短篷	山木阴阴系晚牛	古木阴中隐乱蝉	古木阴中藏洞府
月色清寒，江水沉沉。	月寒江清夜沉沉	月明仙院夜沉沉	霜清甬道夜沉沉	月移铃阁夜沉沉
都说作诗是为了赠汨罗江。	谩说投诗赠汨罗	何必投诗赠汨罗	投诗长吊汨罗魂	汨罗江上莫投诗
西蜀的樱桃原来也是这般鲜红啊。	西蜀樱桃也自红	一树樱桃花自开	樱桃零落红桃媚	玉洞桃花也自红
草木在一年内有几次枯荣的变化。	一年几变枯荣事	枯荣世事经桑海	一瞬枯荣任变更	人事千年几变更
直至寒气逼得冻醒了，看见了满船积雪。	过午醒来雪满船	沽酒归来雪满船	客过题诗月满船	今到池阳雪满船
西域四镇的战士调弓试箭。	箭利弓调四镇兵	克家长箭挟良弓	蛮触交兵箭在弦	角弓初暖箭新调
明月朗照，松下房栊寂静。	月明松下房栊静	月暗花明掩竹房	深夜月明松子落	月明松下鹤双飞
谁家新飞来的燕子忙着筑巢衔泥。	谁家新燕啄春泥	谁家新燕低飞影	春燕新泥乍结巢	燕啄新泥上画梁
渔翁喝醉了酒睡着，也没有人唤醒他。	渔翁醉著无人唤	佳人谁唤醉翁归	老农醉卧无人唤	无人唤醒赋归翁
放弃了祭祀祖先的器具用上鞭枉。	投弃俎豆陈鞭杻	俎豆并陈丹雘底	俎豆兼陈蛤蜊甘	诸生俎豆陈兵后
日夜奔流不息的江水，是在欢迎你回去，为你高兴。	江水迎君日夜流	江水西流日夜声	江河日夜水东流	江水迎潮日夜东
心里想的是杀光边关的敌人。	思杀边城游侠儿	愁杀江南游侠儿	狂杀满城年少儿	城南年少游侠儿
白麻纸上书写着施恩布德的诏令。	白麻纸上书德音	白麻黄纸日相闻	麻纸丹书应满笈	黄阁宣麻书数纸
任那谢了的花开了又落。	颠倒青苔落绛英	颠倒钱灰杂绛英	从教颠倒长青苔	颠倒苍苔落绛英
年年的春光都被你占尽了。	年年长占断春光	年年长是怕春深	年年长逐小春来	年年长作会春期
玄都观里的桃树有上千株。	玄都观里桃千树	玄都观里桃花句	玄都观里千千树	远胜玄都观里桃
春去匆匆，山窗下的修竹实在幽雅，惹人怜爱。	始怜幽竹山窗下	山窗幽竹更添阴	偏宜小阁幽窗下	林下幽窗对万山
独居在此反而生出了闲情逸致。	闲居寥落生高兴	漫拟閒居赋寂寥	平生剩有闲居兴	多病閒居耽寂寥
深夜里煮蚕抽丝恨比丝更长。	灯下缫丝恨更长	百尺游丝惹恨长	玉藕牵丝引更长	愁对残灯夜更长
王昭君在马背上拨弹琵琶以抒哀怨。	抱得琵琶马上弹	大有琵琶塞上弹	忍抱琵琶塞上弹	抱得琵琶不忍弹
丝丝嫩柳在烟霭中随风摇曳。	几丝柔绿乍和烟	丝丝烟雨弄轻柔	柔条雨后和烟折	烟丝绿柳欲生波
轻轻吹拂人面的，带着杨柳清新气息的暖风令人陶醉。	吹面不寒杨柳风	吹面垂杨拂拂风	暖风吹面不成寒	吹寒杨柳只多风
广阔沙草从中群鸥四处飞散。	数丛沙草群鸥散	沙头烟霁群鸥鹭	数群鸥鹭似家生	篱前沙渚群鸥卧
主人选择有树林池塘并且景色幽雅之地为我筹建草堂。	主人为卜林塘幽	卜居喜得林塘幽	主家宴客林塘幽	幽人卜筑向林塘
双脚踏着金蹬马鞍上绣着飞鹘。	双蹬悬金缕鹘飞	归来双肘印悬金	双凤回翔金缕细	双飞金凤绿云翘
只恐贤明的君主顾也不肯一顾。	多恐君王不忍看	多恐萧郎不忍看	多恐仪鸾不忍听	常恐君王不忍看
为我铺好床席，又准备米饭菜汤。	铺床拂席置羹饭	床收珍簟敷菅席	为我拂床仍置席	尚可床头置药包
风雨迷茫，他卷起钓丝， 走进篷底 ，拿出盛酒的瓦罐，面对着风雨自斟自饮。	瓦瓯篷底独斟时	短篷孤榜独来时	瓦瓯篷底醉沧浪	夜深篷底独挑灯
拂不去的杨花，飘飘扑来偎人依傍。	袖拂杨花去却来	却放杨花去再生	杨花入户还飞去	落尽黄花去却回
将毁坏的城址开辟成田冈，	万夫畚锸开连岗	十万役夫操畚锸	王师百万拥连营	谁将畚锸千夫力
世间万事把我们乌黑亮丽的头发都消磨疏了。	世事消磨绿鬓疏	世事共看消短鬓	世事爱来欺两鬓	世事催成两鬓秋
两只黄鹂在翠绿的柳树间鸣叫。	两个黄鹂鸣翠柳	黄鹂两两绿杨间	会有黄鹂鸣翠柳	两两黄鹂鸣绿树
赶紧趁着东风把风筝放上蓝天。	忙趁东风放纸鸢	吹借春风笑纸鸢	春风却放纸为鸢	趁得风轻放纸鸢
寒冷的北风吹来，像箭一样射在饼上。	北风吹衣射我饼	北风吹我上金台	西风猎猎吹我衣	北风吹雪洒秋衣
从小就发奋图强希望建功立业。	少时陈力希公侯	使君深壮称公侯	少俊今时似子希	当时独数留侯功
字迹有如鸾凤翔飞众仙飘逸。	鸾翔凤翥众仙下	鸾翔凤翥精神异	蹁跹凤翥下青霄	鸾翔凤翥形偏异
烛光低照着珍珠帘幕，显得特别华美。	烛光低映珠鞴丽	光映珠帘不上钩	烛光如日映周遭	烛光低映珠帘丽
而这里却依然阳光灿烂。	喷洒前山此独晴	潇洒溪山夜雨收	潇洒山房此啸歌	喷泉飞雨洒晴空
使这五月的江城又见到纷落的梅花。	江城五月落梅花	江南五月黄梅雨	江城五月落梅愁	江城三月落花飞
沿着弯弯曲曲的小路上山。	远上寒山石径斜	门对春山石径斜	步上名峰石径斜	远水寒山石径斜
超世脱俗，其他僧人云游，还带着盛水的瓶子和吃饭的钵，而他出门连这两件东西都不带，一身之外无所有，赤条条来去无牵挂。	兼无瓶钵可随身	世间无地可容身	瓶钵随缘聊可托	瓶钵无心随积雪
哪知甜甜的笑足以抵过君主日理万机。	巧笑知堪敌万几	自倚诗才敌万人	谈笑犹能却敌来	谈笑定谁能却敌
没有听完热泪就纷纷下落。	不能听终泪如雨	停梭怅然泪如雨	不禁哭子泪如泉	何事商于泪如雨
金灿灿的酒器映照着我满头萧萧的白发。	萧萧华发映金罍	萧萧华发映乌巾	萧萧华发对秋风	萧萧华发映衰容
以至叛军度过了黄河他还不信安禄山已反叛。	兵过黄河疑未反	天威略地过黄河	馀寇黄河未解围	十月黄河冰未凘
可笑当年的楚怀王入关投秦却是到了尽穷。	一笑怀王迹自穷	一笑吟成意未穷	司勋自笑绮怀穷	一笑忘言意自深
青鸟报信，西王母自瑶池驾临。	西望瑶池降王母	曾宴瑶池王母家	瑶池王母阆风西	闻说瑶池降王母
在先王庙，在公卿祠，图画天地、山川、神灵，琦伟谲诡，因书其壁，呵而问之，作《天问》，抒发情思。	公看呵壁书问天	呵壁诗成学问天	呵壁烦谁一问诸	呵壁问天百感来
听着织女的配环叮咚，看她款款地过桥而来。	千声玉佩过玲玲	玉佩玲玲月下听	鸣鸾鼓玉声玲珑	佩环声响玉玲珑
行人折下战场旁的一根柳枝。	行人来折战场柳	行人自折门前柳	行人莫折柳青青	陌上行人折扬柳
阿卫韩郎已经先后去世。	阿卫韩郎相次去	谢娘卫女不相待	不是胡郎相介绍	阿环亲为李三郎
碧瓦楼头，锦绣的帘幕高高垂挂。	碧瓦楼头绣幙遮	雨洗楼头碧瓦昏	朱栏碧瓦照山隈	宝树楼前分绣幕
正是这无情的时节，我送着最后一缕春风吹过了楚城。	送尽东风过楚城	东风春管尽江城	零落东风过楚城	东风吹满过江城
刚刚破出水面的点点荷叶只有铜钱大小。	莲叶出水大如钱	荷叶出水大如钱	去时荷出小如钱	忽惊荷叶大如钱
我畅饮美酒喝得沉醉，不离去随意在你家住下。	醉倒不去眠君家	我醉不眠君不去	我醉欲眠君莫去	醉来不住人家宿
残灯暗淡的雨夜，一起下棋的友人已经散去。	雨暗残灯棋散后	湖上残棋人散后	客窗灯暗曙钟残	花覆残棋人散后
满眼望去青山依依，只是没有闲情游过。	满眼青山未得过	眼看青山休未得	满眼青山云散尽	满目庐山青未了
让每一棵梅花树前都有一个陆游常在。	一树梅花一放翁	一树梅前一放翁	一树梅花一杯酒	五树梅花一树迟
我这白头太守真是过份痴愚。	白头太守真愚甚	白头太守成何事	自笑白头甘守拙	专城太守甚癯儒
美丽的鸟儿在后院唱着迎春的欢歌。	好鸟迎春歌后院	好鸟留春自啸歌	幽鸟共歌春意好	花开后院带春行
希望能随着风一直陪着你到夜郎以西。	随风直到夜郎西	春风先到夜郎西	乘轺又到夜郎西	长风却度夜郎西
素雅之花常常要被艳花欺。	素蘤多蒙别艳欺	素艳常遭俗眼媸	娇生素艳薄匀烟	素艳若敷应雪妒
王侯们的家宅更换主人，无奈宦官当道，贤臣良相更成泡影。	文武衣冠异昔时	文物衣冠异昔时	名教衣冠异昔时	冠裳全异昔时观
昨天夜里下了清霜，躲在被衾中都感到寒冷。	昨夜清霜冷絮裯	昨夜清霜昨夜风	不管清秋昨夜霜	昨夜新霜冷钓矶
如今今秋风遍地，寒冷的风直吹得万木萧索，就连亭亭玉立的荷花都变得苍老了。	鲤鱼风起芙蓉老	鲤鱼风起菊初花	鲤鱼风起荻花秋	芙蓉猎猎鲤鱼风
这样，在雨中荷叶还可以遮盖戏水的鸳鸯。	雨中留得盖鸳鸯	留将叶叶覆鸳鸯	得似鸳鸯瓦上看	少留荷叶盖鸳鸯
寂静的卫公宅闭了东院。	卫公宅静闭东院	知君习静闭玄关	江城习静门长闭	公退启枰书院静
为什么要隐居清高自比云月？	何用孤高比云月	孤高独与风云会	孤轮高洁谁为比	丛台孤月为谁高
黄昏时分，雨下得纷纷绵绵。	黄昏犹作雨纤纤	晚作纤纤细雨兼	黄昏帘幕雨纤纤	柳丝青湿雨纤纤
表达情意，只怕你没有眼力识别。	怕君著眼未分明	恐教着眼太分明	教人著眼怕分明	告君多恐未分明
你应该怜惜我对于你的爱。	卿须怜我我怜卿	卿轻还复可怜卿	几人因我误怜卿	我忒怜卿卿惜我
春风便再也吹不到河湟地区了。	河湟隔断异乡春	万里关河隔故乡	关河千里隔蛮乡	一别河桥又隔春
凤凰池上歌一曲阳春白雪。	独有凤凰池上客	惟有凤凰池上客	不友凤凰池上客	珍重凤凰池上客
城中的桃花李花一会儿就凋谢了。	城东桃李须臾尽	门前桃李都飞尽	一园桃李只须臾	更待城东桃李发
水边亭台幕天大雨春寒之气还存在。	水亭暮雨寒犹在	山深有雨寒犹在	都在寒江暮雨中	暮雨凝寒水竹疏
古代曾有王羲之写黄庭经向山阴道士换鹅的韵事。	山阴道士如相见	茅山道士来相访	不见山阴狂道士	山中道士如相识
请问你主帅车骑将军窦宪。	为问元戎窦车骑	却忆元戎窦车骑	元戎曾荐入公车	为问洛阳车马客
为了休联句，我就要像沈某人般瘦尽了。	瘦尽东阳姓沈人	瘦来不是沈东阳	瘦尽东阳沈隐侯	笑向东阳沈隐侯
南邻犬戎北面接着胡。	南邻犬戎北接胡	西蹙犬戎威北狄	南邻北里皆孀妇	一自犬戎生蓟北
数百个有着碧绿眼珠的矫健的外族骑士。	碧眼胡儿三百骑	碧眼胡儿吹笔笛	碧眼胡儿跨虎归	碧眼胡儿手指天
却没有人知道去夺回凉州。	无人解道取凉州	无人说向江神道	不知人要博凉州	无人解道取幽燕
两处美好的春光，在同一天消尽。	两处春光同日尽	两地知春历日同	喜见年光两处春	随处春光总可怜
谁能忍住不去看那明媚美丽的颜色？	明媚谁人不看来	不是新人不肯来	自是游人不看来	几人不为看花来
现在，你知道是什么季节了吗。	今岁何时妾忆君	东君今岁知何意	今岁逢春我忆君	岁暮长安定忆君
扯起珠帘，扑面央入满眼芳草。	开帘只见草萋萋	卷帘不见草萋萋	江南又见草萋萋	帘外萋萋草正肥
直立的长刀，像要割断筝弦般寒光森森。	长刀直立割鸣筝	并刀一割玉龙乖	一似持刀割犬羊	自拔长刀割彘肩
今天我这个“客人”倒变成了主人来送别自己的朋友了。	今日翻成送故人	今日真成返故乡	今日故人悲杞国	今日送君非故闬
是因为自己站在飞来峰的最高层。	只缘身在最高层	自缘身在最高层	托身须在最高峰	仙家似在最高层
农历二月，青草渐渐发芽生长。	草长莺飞二月天	草长莺飞二月中	满路莺花二月天	绿树莺啼二月天
夏夜沉沉，清静的堂屋门窗大开。	沉沉夏夜兰堂开	万籁沉沉清夜阑	祠堂深锁夜沉沉	沉沉清夜大槐宫
夕阳落了，白沙更亮，天空倒映水中。	日落沙明天倒开	日落沙光动地黄	日落沙明开玉镜	山明落日水明沙
夜里迎风冒雪过江倍觉严寒。	夜来风雪过江寒	夜来风雪满吴淞	夜来风雨不成寒	夜来风雨涨春寒
陨星的光芒渐灭雨痕渐生。	星光渐减雨痕生	雨少晴多减涨痕	河光寒影渐生新	云际疏星过雨痕
诸葛亮大名垂宇宙且万古流芳。	诸葛大名垂宇宙	诸葛大名垂万古	未办大名垂宇宙	千古修名垂宇宙
梦中我回到了故乡，看到黄叶满院，青苔满地，一片荒凉景象。	故园黄叶满青苔	黄叶青苔遍四邻	空馀故垄满青苔	卷帘黄叶满青苔
邙山北来残存宫殿高高。	山势北来宫殿高	山势西来甲观高	云连宫殿北山高	山势北来天拄孤
雨后初晴，山色青翠，白云悠悠飘荡。	青山霁后云犹在	山头破煖青犹在	青山雨后白云多	云收雨罢山犹在
您去正值春江满，烟云弥漫水茫茫。	君去春江正淼茫	君去春江正渺茫	龙江南下正茫茫	春江云树正苍茫
如今我就像那两三棵树一样静静地站在江边。	今日江头两三树	今日江东风树渺	今日江头飞不下	最爱临江两三树
高高亭子位于郡城以西。	高高亭子郡城西	阳山高峙郡城西	含珠亭倚郡城西	楼台只在郡城西
名字也在兵部征兵的名册之中。	兵部牒中有名字	兵民有籍名皆定	幸无名字到官中	由来水部有诗名
元宵节的铜鼓声隐约如滚地的雷响。	铜鼓中宵隐地雷	鼙鼓中宵动地来	鼙鼓动时雷隐隐	中宵金鼓云间动
那就回来把我旧服重修。	退将复修吾初服	更修何服是吾初	犹馀初服将修退	愿将初服敌华簪
天上的大雁要从这浩渺无边的湖上横空飞过还有许多困难。	雁点湖飞渡亦难	日暮沙飞雁度难	也知雁使飞难到	天边雁阵飞难到
只能在梦中回到洛阳城。	夜来还到洛阳城	日西来到洛阳城	降王犹到洛阳城	夜来魂梦到昭阳
艰难的旅途和疲惫的身心该怎么休息。	劳生逆旅何休息	尘世劳劳何日息	莫道劳生何日息	扰扰劳生暂息机
碣石与潇湘的离人距离无限遥远。	碣石潇湘无限路	碣石潇湘迷处所	天涯无限潇湘意	江南无限潇湘意
百花盛开季节养蚕忙煞人。	好花时节不闲身	槐花时节送闲人	百花时节好闲飞	太平时节一闲身
很惭愧我抗清复明大业未成，手无寸功，却想和这两位葬在一起。	惭将赤手分三席	林下方将分半席	赤帝肯分宾友席	敢将赤手抗中原
杨柳青青江水宽又平。	杨柳青青江水平	杨柳青青河水浑	杨柳青青沟水流	杨柳青青春水生
新丰有个八十八岁的老人，头发。	新丰老翁八十八	沂州老人八十强	得自新安八十翁	老翁八十鬓如丝
多情地映着花叶，隐藏含羞的面庞。	卧丛无力含醉妆	几丛无力卧斜阳	晚妆无力亸云鸦	含风笑日娇无力
小雨如丝一般，似乎是要将春天网住。	小雨丝丝欲网春	丝丝细雨春云薄	一雨丝丝弄小春	春雨丝丝润小庭
临别时殷勤地托使者寄语君王表情思。	临别殷勤重寄词	临别殷勤置酒杯	别后殷勤屡寄诗	殷勤远寄重缄词
窗外的石榴花盛开，透过垂挂的竹帘，映红了虚堂。	石榴开遍透帘明	石楠红叶透帘春	石榴开遍几枝红	榴花开遍殿东头
这个道理却被人们忘记了。	此语虽存人所弃	古人所弃今人慕	虽然此语何人信	公子道存知不弃
织锦回文诉说思念的长恨。	机中锦字论长恨	不须锦字论长恨	织锦谩论新旧恨	锦字机中自织愁
远远眺望洞庭湖山水苍翠如墨。	遥望洞庭山水翠	遥望四山云接水	秋晚洞庭山水秀	洞庭西望水云乡
清明这一天。	南北山头多墓田	城北窑湾多墓田	山北山南累亦多	北郭荒郊多墓田
整个春日大概都没有连续十天清明无雨的日子。	一春略无十日晴	十日春无一日晴	十日天无一日晴	春半曾无十日晴
盘中菜肴，只有水精盐。	盘中只有水晶盐	盘中秪有水晶盐	金盘更换水晶盐	翠盘长贮水晶盐
粗砂大石磨去了字迹。	粗砂大石相磨治	玉石琢磨方是器	精能磨石似磨砖	粗沙大石定磨碑
正因她心存恐惧反更该与她相亲。	只缘恐惧转须亲	只缘思涩岂情疏	只愁我辈转须贫	祗缘恐惧转须亲
绣着彩鸾的门帘横额，沾满了霜痕层层。	彩鸾帘额著霜痕	风帘银烛照妆痕	霜痕飘处尚斓斑	芙蓉已带著霜痕
长衫白胜雪还把犀牛皮带紧束。	长衫刺雪生犀束	蕉葛裁衫映雪单	长衫布缕如霜雪	碧水长衫映黑头
骤雨收歇，已足使这一派秋色更为迷人。	已凭暂雨添秋色	为乘好雨添幽色	急雨忽来添瞑色	小雨遂将秋色至
群峰上，松树密密麻麻排满山面。	乱峰围绕水平铺	奇峰突兀水平铺	乱峰如抱水萦回	四围绿绕城边水
送给我的友情又像山岭上的白云那么多。	送我情如岭上云	岭上云多肯寄人	岭上有云如可寄	诗思闲于岭上云
斜阳已照着花枝，将婆娑红影映上我的帘钩。	日催红影上帘钩	猛惊残日上帘钩	一庭红影上帘钩	日移花影上帘钩
城头的月儿升空照着全凉州。	城头月出照凉州	城头月色照沙湾	襄水城头晚照凉	长城新月照刀头
湘灵鼓瑟演奏情投意合，秦台吹箫享不尽人间欢乐。	湘瑟秦箫自有情	又非湘瑟与秦筝	湘瑟流哀弹别鹤	瑟瑟柔波诉有情
和煦的春风又吹绿了大江南岸。	春风又绿江南岸	春风未满江南岸	春风自绿江南岸	春风白芷江南岸
又象那错落的众星辰中辨出了北斗。	众星错落仅名斗	众星错落影迷茫	错落星躔指大魁	星辰错落犹疑早
起来看到半轮残月的光辉，映照树林上也很暗微。	起看残月映林微	映窗残月见疏林	卧看残阳映落霞	起看残月寒无色
北风呼啸声凄厉，吹在身上透骨冷。	北风切切吹衣冷	西风切切正吹裳	西风吹冷妾衣裳	北风吹雪冷侵衣
江里的海鲸东向，百川倒流。	海鲸东蹙百川回	百川齐下吸饥鲸	东海鲸鲵倒百川	斩鲸东海白波回
何必说要到遥远的桑乾河才算塞北边境呢。	何必桑乾方是远	何须祷旱必桑林	何必桑干方是远	何必天涯方是别
不论江南江北时刻送你把家归。	江南江北送君归	江南江北还相望	江南江北为君愁	江南江北看君归
王母的信使青鸟啊，你飞去西方竟然还没回来。	青雀西飞竟未回	青雀西飞讶有神	青鸟西飞尚未回	不回青雀枉西飞
上天对此也迷惘怀疑。	上帝深疑亦自迷	惑经疑古自迷蒙	蝶怕深香路自迷	上帝深宫闭九阍
不一会儿初升的太阳照在抹了胭脂的脸颊上。	须臾日射胭脂颊	须臾日射燕脂颊	紫房日照胭脂拆	晴日倒红生笑颊
城里的人早已离开，此处只有山野中人闲游散步。	市人行尽野人行	意行行到野人家	市喧不到野人家	溪行尽日少人家
丞相的祠庙就在先王庙临近。	武侯祠堂常邻近	武侯祠庙已千年	厓山祠屋长邻近	武侯祠屋常邻近
不要忧虑世上和自身的那些琐事。	莫忧世事兼身事	百年世事兼身事	莫愁世事兼身事	世间何事更关身
日夜来往的都是些贵戚之家。	日夜经过赵李家	日夜经过七贵家	日暮经过燕赵客	昨夜曾过玉女家
这真是我心中从未意想到。	亦非余之所志也	诗者志之所之也	我亦平生知所慕	羌不知余之所藏
舞女矫媚身姿多么匀称。	慢脸娇娥纤复秾	肯将铅粉斗纤秾	纤秾初见似娇痴	风娇小叶学娥妆
夜里听到铃声就断肠痛苦。	夜雨闻铃肠断声	一夜雨声吹不断	夜雨闻铃欲断肠	夜半更闻风雨声
自荆门回望荆州，已是夏云重裹，清楚难辨。	荆云回望夏云时	白云常望五云边	回溪应望白云生	白云回望旧时楼
在马背上看着遗民提着酒浆对我们哭诉。	壶浆马首泣遗民	壶浆迎马即乡民	道侧壶浆积遗爱	遥想遗民垂泣处
烹制的鸡兔味道鲜美。	烹鸡庖兔下筹美	落林笋嫩充庖美	烹茶品较红毛美	烹来羹脍争夸美
仙影远去，我还在频频回望。	轮欹影促犹频望	花影频移夜向阑	教人频望只轮车	烛残犹爱影频斜
感受到君心就如松柏化成。	感君松柏化为心	松柏化为君子材	松柏何心能不老	松柏旧心当化石
人去楼空而晨钟依旧。	晓钟还下景阳楼	景阳楼上晓钟时	景阳楼外听钟声	晓钟犹是景阳来
春雨迅猛，池塘水满，遥望群山。	雨过横塘水满堤	雨过舟横水满溪	湖塘雨过水平堤	雨收秋水满横塘
投笔从戎，跃马在西北边关。	跃马西入金城关	御史乘骢西入关	匹马春风西入关	马蹄西去入毡城
渔船在恶浪里欲沉欲浮。	浪恶罾舡半欲沉	鱼冲千浪妄投罾	细浪翻风鱼欲出	江豚吹浪任沉浮
你用野蔬充饥却说食物甘美。	野蔬充膳甘长藿	野蔬自采充斋食	蔬茹甘香可疗饥	蔬豆重甘旧藿葵
水波荡漾着绿蒲滋润着白芷。	演漾绿蒲涵白芷	白芷青蒲绿水涵	绿蒲白芷漾新波	渌水汀洲演漾秋
深夜还是悄悄地照进您书房的小窗。	夜深还照读书窗	夜深来照读书堂	夜深偷入读书帏	夜深仍对读书檠
友人归去，一路上将日夜兼程，白天劈波斩浪。	风波尽日依山转	光风丽日依稀转	尽日流风转蕙迟	风帆十日转长山
在这种年头里，郡侯被驱逐出去是极普通、极平常的事。	郡侯逐出浑闲事	十年宰相浑闲事	谁言逐客浑闲事	天涯放逐浑闲事
我也想要效仿先贤携带书剑去从军。	欲将书剑学从军	羞将龙剑远从军	谁将书剑许从军	谩将书剑学从军
秦蜀被秦岭所阻从不沟通往返。	不与秦塞通人烟	秦川马驿与天通	秦川楚塞烟波隔	秦关燕塞路难通
我也不曾登上天子船。	我也不登天子船	我不登临意也牵	天子呼来不上船	别我天津买画船
红色的花瓣被风纷纷吹落。	风动落花红蔌蔌	风散落花红糁糁	蔌蔌天花落未休	风急落花红满林
急奏整套的凉州曲调末了。	逡巡大遍凉州彻	赋就逡巡问大巫	捧檄逡巡到本州	直指巡行遍几州
她登上了高楼对月亮歌唱。	寒鬓斜钗玉燕光	鬓影钗光看不准	钗横玉燕鬓松鸦	鬓云斜亸凤钗横
自由自在的小黄莺叫声悦耳动人。	自在娇莺恰恰啼	树里娇莺恰恰啼	娇啼恰恰似雏莺	听取娇莺恰恰啼
你高声歌唱长吟诗篇，插花酣饮何其豪雅。	高歌长吟插花醉	高歌取醉欲自慰	高吟大醉三千首	高吟大醉出长安
随从之臣才艺都是世上第一。	从臣才艺咸第一	李揆才名今第一	才俊当推第一流	从臣才俊俱杨马
盛开时独占了城中的美景。	占断城中好物华	却道城中风物好	沁水园中好物华	地占钱塘最物华
厨师们快刀细切空忙了一场。	鸾刀缕切空纷纶	銮刀缕切空纷纶	鸾刀缕切朝传膳	玉盘缕肉鸣鸾刀
到寺庙后，长途跋涉后的马儿，得以纵辔歇息，在悠闲地踢着蹄，打着响鼻，不时地仰头长嘶。	出寺马嘶秋色里	匹马关山秋色里	寺边秋色拥行舟	路横秋色马嘶风
如雪般的梨花淡淡的白，柳条透露出浓郁的春色。	梨花淡白柳深青	桃花红浅柳青深	柳絮梨花淡淡春	梨花雪白柳深青
喝着名贵的酒纵情地欢乐。	斗酒十千恣欢谑	斗酒十千须尽兴	美酒何曾斗十千	斗酒十千无白醪
因此武观得以酿成内乱。	五子用失乎家衖	乱我家子虽用儒	五十生儿尚克家	公家子弟又可用
满船醉客载歌载舞《白苎》曲。	醉客满船歌白苎	每自放船歌白苧	洗脚上船歌白苧	醉客满船歌月明
流莺儿啊，到处飘荡，上下翻飞。	流莺漂荡复参差	流莺飘荡复参差	桃花流水影参差	鲜风淡荡燕参差
山猿愁啼，江鱼腾踊。	猿愁鱼踊水翻波	鱼跃浪花翻水面	波惊鱼沫水声寒	水隐波翻鱼弄月
如同疾风骤雨一样，飒飒惊魂。	飘风骤雨惊飒飒	飘风骤雨谩惊春	飘风骤雨遂终日	秋风飒飒浪飘飘
可是我怎能不想到，那挂满蕙兰的家园小径上，再难有共度美好时光的快乐了。	蕙兰蹊径失佳期	蕙兰蹊径失芳期	罗浮采药失佳期	径深行袭蕙兰香
看着流亡的百姓愧对国家俸禄。	邑有流亡愧俸钱	自愧居官费俸钱	俸钱虚愧对流亡	邑有流亡翻自嗤
画工们把笔舐满了颜料临摹。	众工舐笔和朱铅	舐笔磨铅那得停	舐笔和铅学点鸦	馀工吟笔烂生花
清淡花香随落花移到菊花枝头。	清香移在菊花枝	蟹香新在菊花时	生香浑在桂花枝	不知清在菊花功
区别和裁剪，淘汰那些形式内容都不好的诗，学习《诗经》风雅的传统。	别裁伪体亲风雅	别裁伪体时流忌	别赐轻𦄢称体裁	别裁伪体识清真
这羌笛胡笳也不用再吹。	羌笛胡笳不用吹	一声羌笛不须吹	羌笛一声吹不落	羌笛胡笳总断肠
哪一天皇帝要搜求我的遗稿。	茂陵他日求遗稿	茂林当日求遗草	茂陵遗稿他年在	遗书应耻茂陵求
其实江南的莼羹才更加可人。	自有莼羹定却人	羹有菰莼自合归	坐来忘却紫莼羹	知音自有和羹手
桃花整天随着流水流淌。	桃花尽日随流水	流水桃华尽日閒	花开花落随流水	飞花日日随流水
玉颜满堂，其乐融融。	玉颜满堂乐未终	绿鬓朱颜乐未央	满堂和气虽云乐	红颜少年坐满堂
烧杀抢掠。	屠杀熟户烧障堡	矮鬼连朝烧更杀	郑屠牛二焰初熄	欲屠石堡斩楼兰
