高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
为的是去年的今天腐败的清政府把台湾割让给了侵略者日本。	去年今日割台湾	前年今日达龙湾	去年今日犬台上	去年今日凤山头
残旧简陋的旅馆里，我独自一人，对着微弱的灯光。	萧条孤馆一灯微	萧条院落一灯悬	萧条孤馆傍溪湄	萧条旅馆孤灯宿
披露着衣襟玩弄着五弦。	披襟弄五弦	披襟弄明月	披襟中散弦	临风弄清弦
什么时候才能像画里这般天下太平。	何日承平如画里	如何得似承平旧	何日承恩归故里	何当更有承平日
胡地的天空旷远苍茫。	胡天白如扫	起视白如霜	雪净胡天绿	月白胡天风
还可以浇灌宋玉家的稻田。	分浇宋玉田	筒水下浇田	微分种玉田	自分浇菊水
总有一天把鲁仲连助齐攻燕的战书发射出去。	未射鲁连书	鲁连功未报	未达鲁连书	未造鲁连书
花的凋谢是为了再次的开放。	花谢为花开	花却为诗开	花谢又花开	花落复花开
山涧的树上还有晨雨。	涧树含朝雨	树色含残雨	涧草含晴雨	绿树含春雨
中原尚且有斗争。	中原有斗争	中原起战争	中原罢虎争	刁斗中原静
潮水如昔，拍打着寂寞的空城。	潮打空城寂寞回	潮打孤城寂寞还	铁瓮潮声还寂寞	寂寞空潮自打城
马的颜色虽然不同。	马色虽不同	人鬼虽不同	托体虽不同	色香俱不同
只要解开丝绳铁环，画鹰就会凌空飞去。	绦镟光堪擿	翼轸光堪摘	挟册光堪映	盈手光堪掬
仍是和昔日宫女们罗裙一样的绿色。	犹带罗裙色	草色带罗裙	罗裙深浅色	犹带绮罗尘
计算着入朝应在宫莺罢啭的时辰。	宫莺罢啭春	莺啭尚馀春	宫莺啭曙光	宫莺春罢啭
套在手指上的银甲一直没脱下来。	银甲不曾卸	不曾拈一缕	金甲不曾擐	银甲弹筝用
照到真珠可爱的睡脸上，透过窗纱的细洞的晨光如同繁丝一般。	日丝繁散曛罗洞	蛛丝度过萦罗幌	满天晴日散游丝	筠帘日织五丝文
你可知道我出来见你一次是多么的不容易。	奴为出来难	正为来者嗤	出塞难为客	傒奴为候吏
佛钟敲响声连万壑千川。	钟声万壑连	钟敲万壑烟	松声万壑连	钟声万壑间
春草环绕道院闲门。	春草闭闲门	芳草闭闲扉	草色闭闲门	幽草闭门生
天旋银河斜。	天回河汉斜	天流银汉斜	天空河汉流	高天河汉斜
谁还敢与他并起并坐，传杯把盏。	府中谁敢伴飞觥	谁信飞觞临绮席	敢辞偿令独浮觥	谁伴高贤举兕觥
在环境优美安静的书斋缓缓打开书卷。	高斋晓开卷	高斋缃帙开	高斋开白下	小斋开卷罢
种田郎荷锄听采菱女唱歌。	郎听采菱女	采采听菱歌	莫被采菱女	听歌杂采菱
石壁上积出冷冷的苍苔。	石甃冷苍苔	古甃苍苔断	石壁扫苍苔	石甃古苔冷
那朝廷上的党争，即便是难用之材也怕搜林之斧，疲惫的战马希望听到收兵的号令。	散材畏见搜林斧，疲马思闻卷旆钲。	摩空莫笑雕笼翠，伏枥长愁卷旆钲。	疲马常思捲旆旌，如何处处尚屯兵。	强梁不见图销印，跋扈如闻欲倒戈。
春光宛若清清溪流源远流长。	春与青溪长	春水前溪长	溪春荇带长	春光与日长
看来落势还不会停止。	落势殊未已	雨势纷未已	十雪势未已	秋暑殊未已
水不停地流走，花儿不断地凋零，这是多么无情啊。	水流花谢两无情	水流花谢总无情	好花萎谢若无情	白云流水两无情
洛阳市南的妓院门庭若市，从来没有萧条冷清的时候。	市南曲陌无秋凉	曲江南陌乱垂烟	东阡南陌无穷乐	东城南陌思无穷
护羌校慰坚守阵地登上障堡。	护羌校尉朝乘障	秦地护羌诸校尉	护羌校尉有光辉	校尉平明逐敌回
就故意让他们崛起而又困顿。	故遣起且僵	晚起且谁何	手自起僵仆	谁遣因风起
男儿报国莫惜生命。	男儿莫顾身	男儿合致身	男儿恐浪生	男儿愧有身
走入了幽深曲折的山口，再往前，豁然开朗一片平川。	山口潜行始隈隩，山开旷望旋平陆。	一山行尽一山来，山上荆围小韨开。	过尽昌州无数山，山开地辟见平田。	山腰路转多临水，峡口天开又见山。
把女儿嫁给就要从军的人哪。	嫁女与征夫	娇女嫁仆夫	织作嫁女衣	五女嫁贤夫
而她的红粉楼下也长满了青苔。	妾处苔生红粉楼	想见醉围红粉处	红粉娼楼处处多	不及楼中红粉多
春风和畅阳光送暖乐曲悠扬。	东风日暖闻吹笙	连日东风吹送暖	东风吹暖到池台	东风日日吹花急
红袖少女夸耀杭绫柿蒂织工好。	红袖织绫夸柿蒂	纨扇新裁红袖巧	红裙翠袖黄金束	游女春衫柿蒂绫
不忍离别频回首，含情眺望南山岭。	举头试望南山岭	举头相望隔山河	举头凝望青山外	举头北望见虞山
您鬓发如雪，年事已高。	年高雪满簪	徒惭雪满簪	还应雪满簪	芳年雪上簪
无论江南江北看看都是青山格外多。	江南江北青山多	江南江北饱看山	看尽江南江北山	江南江北许多山
我经常过来坐在北窗边翻看。	时来北窗阅	闲来北窗下	北窗时讨论	晚来风北窗
我知道现在很多人不讲究礼节了。	遥知礼数绝	原知礼数虚	深承礼数知	定知宽礼数
人生孤立无援又有何妨碍！	人生孤立何伤焉	伤哉人爵一生穷	人生如此尚何伤	人生至此更何忧
春天的云彩倦卧在芙蓉苑的墙上，苍茫暮色下江亭矗立，春景寂静。	城上春云覆苑墙，江亭晚色静年芳。	忆昔霓旌下南苑，江亭晚色净年芳。	城上春阴暗晚空，城头山色有无中。	西城春色静年芳，灵沼文禽暖在梁。
高耸的金雀直上空中的云雾，	金雀觚棱上云雨	金碧觚棱紫翠间	云破觚棱金雀现	金爵觚棱月色秋
绫罗的衣服也不再缝制了。	罗衣谁再缝	荷衣已惯缝	为郎制罗衣	罗衣有旧缝
太阳出来就是白昼，沉没就是黑夜。	出为白昼入为夜	长为清光入夜归	白日惨淡昼为宵	白昼风号夜不休
清冽的泉水纯净透明，惹人喜爱。	爱此寒泉清	寒泉自清洁	却爱石泉清	爱此清秋光
远望天边看到幽幽绿水。	天边看渌水	同看水中天	天边吴水阔	江边看水行
回头一想，那些蚂蚁般的小人。	顾惟蝼蚁辈	自怜蝼蚁辈	谁知蝼蚁诚	苦心容蝼蚁
春江暴涨仿佛要冲进门户。	春江欲入户	春星入户多	春时风入户	春江岸欲平
倘若龙城的飞将卫青如今还在。	但使龙城飞将在	今日龙城飞将在	干城纵使龙标在	却自汉家飞将在
听说你要去陇西郡。	闻君陇西行	闻君行有日	君行西河上	闻在陇西县
又碰到裴迪这个接舆酒醉。	复值接舆醉	逗晓复篮舆	偶值乘篮舆	狂能踵接舆
问问田里耕作的农民吧。	试向桑田问耦耕	时向田家问耦耕	留待桑田学耦耕	却寻田叟问耕耘
何必要将名，相的区别分清？	名相与谁期	功名谁与同	此去与谁期	英名相与俱
又从山崖倒射船窗化作点点飞雨。	倒射轩窗作飞雨	日射东窗顿作晴	洒面风吹作飞雨	倒景扶桑射北窗
我的小屋宛如一叶渔舟。	小屋如渔舟	荡个小渔舟	渔舟小如叶	小屋似扁舟
现在我送我们家长排行最小的叔父李贲外出，因为分别心里很不痛快，刚才的兴高采烈都是假装的，所以把船停下，多待一会。	我行送季父，弭棹徒流悦。	之子面如玉，沿流送我行。	握手独相送，君行我自归。	我行逢日暮，弭棹独维舟。
如同天上的浮云般，一下子消散了。	一朝消散似浮云	人间聚散似浮云	宦游易作浮云散	一似浮云任所之
长时间以来，都城里的人每天都引颈而望，盼望着早降甘霖，他们心情就像是那渴极的人盼望水喝一样的急切。	都人倾望若焦渴	都人久不望威颜	空使行人愁望渴	几年倾慕心如渴
登临高台远望郊野。	野外登临望	登临四望赊	登临将眺望	野旷快登临
还让我君王的感情都难以控制。	尚得君王不自持	乍得春风不自持	君王犹自不长生	曾得金人手自持
一片高大茂密的树把整个村庄笼罩在一片阴暗之中，金灿灿的油菜花开得正茂，花向麦田远处渐渐稀疏。	绿树连村暗，黄花出陌稀。	松连山径绿，花出杏村红。	绿暗连村柳，红明委地花。	绿树连天暗，红葵向日开。
风中一棵枝干半枯的大树。	半朽临风树	半醉临风折	石倚风前树	临风孤玉树
顾盼跂乌，群鸦猜详：跂乌落魄，是为那般？	尔独落魄今为何	磊落古今何独君	吾生落落果何为	独醒到死欲何为
一个驿站又是一个驿站。	一驿过一驿	一桥分驿路	一驿是遥程	一过一回新
江水带着春光将要流尽。	江水流春去欲尽	春水一江流未尽	水流花落将春去	江水长流无尽意
柑橘柚子生产于南方。	橘柚在南国	南包橘柚初	橘柚南中暖	群山橘柚乡
先师有诀神必将相助。	先师有诀神将助	神传妙诀助奇锋	至诚似有神明助	我行不有神灵助
骄奢更胜过石季伦。	意气骄奢剧季伦	画笔峥嵘意气骄	吴宫季主恣骄奢	五马相逢意气骄
叛乱一起帝王带着贵妃仓皇出逃。	翠华西拂蜀云飞	翠华遥拂蜀山低	翠华南下拂秋天	红旗拂曙彩云飞
不必担心会蹲上尘土。	不畏素尘芜	居尘不染尘	能不缁尘厌	不受俗尘污
恰好我绕道经过此处，见人们在此随意出入，宅内并无人迹，前辈啊，能否允许我前来吟诗探访啊？	枉道祗从入，吟诗许更过。	总为寻诗过，难将问字留。	往事僧能道，豪吟客暂过。	入城先过我，应只为论诗。
偏偏子规鸟故意傍人低飞，啼叫不绝。	故作傍人低	故作向人红	故作傍人啼	花故傍人明
欲往那里参加战争。	往战城南畿	进兵龙城南	来往城南路	百战城南道
玉台灵秀出云霞。	玉台凌霞秀	玉蕊对凌霞	秀色凌朝霞	高台凌紫极
上面还罩着锦绣小青袄。	身著赤霜袍	身著粪扫袍	身著锦袍新	霜雪布袍尊
洲头的尽头江面又开阔起来。	洲尽江复开	江上花开尽	逐江开北户	天青江自开
信陵君为侯嬴驾车过市访友。	公子为嬴停驷马	邑子先期驷马归	迟子来乘驷马车	窃谓齐公千驷马
任由松树间的凉风吹过头顶。	露顶洒松风	露顶海风迎	露顶薜萝风	露顶松风下
幸运的是有您注意到了我。	幸沾分寸顾	馀波幸沾丐	寸禄不沾分	幸因逢顾盼
战士们还远没有进入玉门关。	玉关殊未入	玉关生得入	玉关人未入	来入玉门关
回乡之路远隔万里长路狭。	归仍万里赊	家怜万里赊	长征万里赊	君归万里遐
我在此地殷勤接待嘉客，共同度过这美好重阳。	此延嘉客会重阳	近来屡会高阳客	客中高会又重阳	时来嘉会一阳新
然而你的旧宅曾被后人毁坏，改建为鲁王宫。	宅即鲁王宫	南山梵王宫	却过鲁王宫	地即孝王宫
归梦中云层浓厚，看不见那黑水在远方漂流。	云深黑水遥	云深江树黑	白云深霅水	流水隔云深
眺望西南，四五青峰，更加郁郁葱葱，犹若刚刚画成。	画出东南四五峰	白遍东南四五峰	秀出罗浮四百峰	庐山东南五老峰
楚地的人都为屈原感到悲哀。	楚人悲屈原	楚人悲未歇	因思楚屈原	哀郢屈原愁
高可入云，直插南斗星。	突然一峰插南斗	大隐一峰高插天	突兀三峰凌斗极	平地突然出一峰
男子汉大丈夫为什么不腰带武器去收取关山五十州呢？	男儿何不带吴钩，收取关山五十州。	何处不看今夜月，关山偏解忆洮州。	铙歌唱彻海风秋，收取关山五十州。	莫负男儿好身手，一声长啸看吴钩。
朝廷派出军队抗击。	天兵出汉家	出关收汉卒	提兵出汉家	天家驻五兵
楚王神女巫山相会，枉然悲伤断肠。	云雨巫山枉断肠	才向云山枉断肠	云雨巫山易断踪	巫山望断终为雨
沧浪江有钓鱼翁。	沧浪有钓叟	沧浪有钓舟	沧江有钓船	沧浪有渔父
迷蒙的烟雨笼罩着一片沙洲，料峭春风中的杏花，也失去了晴日下艳丽的容光，显得凄楚可怜。	一汀烟雨杏花寒	一帘风雨杏花残	一帘风雨杏花寒	一帘春雨杏花寒
我在梦中回到江西吉州吉水老家，看到了海棠一朵一朵都开了，这繁花就像美丽的锦绣堆起来似的。	梦入江西锦绣堆	秋入江山锦绣开	天造西湖锦绣堆	千里江山锦绣中
家住在孟津河旁。	家住孟津河	我家孟津北	家住黄河口	家住清溪口
哀厉声响如击钟鸣奏。	哀响激金奏	山蜩金奏响	玉琴哀响辍	峦响荅金声
听说通往轮台的路上。	闻说轮台路	闻说燕台路	闻说齐州路	闻说山中路
风姑娘还精心地打扮这些花朵，给它们穿上了红的，白的，粉红的衣服，白的如雪，红的如胭，真是艳丽无比，将春天装点的万紫干红，灿烂生辉。	颜色又染燕脂牢	色丝不染胭脂井	玉肌轻染燕脂色	颜色不辞脂粉污
今天还能聚在一起同饮芬芳的菊香之酒。	今日暂同芳菊酒	菊花今日更同看	筵上芳樽今日酒	把菊重酣今日酒
温暖的花丛中卧着青牛。	花暖青牛卧	花暖一牛眠	林外青牛卧	谷有青牛卧
秋水盛涨几乎与岸平。	八月湖水平	八月西湖水	十月平湖上	二月江水平
蝉声把我这囚徒的愁绪带到远方。	南冠客思深	南客更思归	南冠客思侵	秋深客思迷
夕阳映照在汹涌的河水中忽暗忽明。	夕阳明灭乱流中	夕阳明灭涵空碧	夕阳明灭乱山椒	夕阳明灭乱流过
湖上回望山川，青山白云依旧。	湖上一回首	溪边一回首	此地一回首	湖东一回首
凉夜的波间古龙在悲凄地长吟。	凉夜波间吟古龙	月明波底老龙吟	凉夜苍龙尚吟啸	夜静恐有蛟龙吟
可是她却丝毫也不畏俱。	不畏落爪牙	不知牙齿落	爪牙岂不猛	爪牙真猛捷
被谪迁的人彼此对望不禁泪湿衣。	迁客相看泪满衣	徂岁相看泪满衣	楚老相逢泪满衣	逐客人人泪满衣
对有功的名将应刻石勒铭，谁有这样的资格呢。	勒名峰上吾谁与	我有佳名谁与归	孤峰顶上阿谁能	萧峰顶上与云齐
现在有人把蚂蚁爬行当作牛斗。	人将蚁动作牛斗	匝中时动斗牛文	床头蚁斗两牛鸣	蚁动巧闻床下斗
有恃无恐兮天高地远。	既恃远且险	既曾忧险阻	恃险不能久	天路远险艰
还为离人照着庭院落花。	犹为离人照落花	不为离人照屋梁	犹为离人照路明	落花时复饯离人
乱石如虎踞龙蹲满地纵横。	虎踞龙蹲纵复横	龙骧虎视意纵横	山如龙虎势纵横	虎丘虎踞仍龙蟠
他们东征徐虏象勇猛的强虎咆哮。	东征徐虏阚虓虎	武臣敌忾馀虓虎	蚤从征虏起边陲	江东尚想孙征虏
但清明上坟奠祭祖先的礼仪还是和中原一样。	上冢亦携庞老家	过家上冢非无子	上冢偶随庞老去	庞公上冢亦携家
就会看到第一轮红日被送上蔚蓝的天空。	首送金乌上碧空	谁送鹏抟上碧天	首蹑烟萝上碧空	忍送文星上碧天
北山上有很多古人的坟园。	北山饶古人	北山有古寺	游山学古人	南山饶古意
残余的晚霞铺展开来就像美丽的彩锦。	余霞散成绮	霞绮散成红	水光散成绮	霞绮散成纹
年轻时，每逢佳节，总爱生出许多情感，现在老了，谁还有心思平白无故去感慨万千；	少年佳节倍多情，老去谁知感慨生；	中年遇事多哀乐，老去情怀祗自伤。	少年万里度关河，老遇秋风感慨多。	乾坤佳节客中临，感慨虽多喜亦深。
希望它让正直的人士大快心意。	愿快直士心	拳拳志士心	愿求天下士	得上烈士心
鸟好像轻飞在一扇屏风里。	鸟度屏风里	鸟度翠屏迟	鸟影度屏中	鸟道入风斜
整个大地都笼罩在多日的细雨微风中。	十日雨丝风片里	雨丝风片节重三	今日雨丝风片里	雨丝风片拂烟舲
沿着潇水投奔零陵。	沿流此投迹	漂流来此行	沿流定达村	溯流从此去
终老窗前死啃一经。	窗间老一经	岩间老一夫	今在一窗间	云窗老一经
细雨后的黄昏即将坠落的夕阳斜斜地照耀着。	残雨斜日照	残雨开斜日	斜日照残书	斜日照前林
如今花开时节我们分别已一年。	今日花开又一年	开到梅花又一年	今日花开已一年	黄菊花开又一年
天高云淡正值秋高气爽。	云天属清朗	清朗见尧天	云天皆洞鉴	天气清而朗
都是难得的贤才。	俱有千里骨	毅有千里气	有人千里外	世有千里马
只有远望遥遥长安故园。	唯有乡园处	唯有故乡人	乡园何处是	独有乡园恋
这句话骗得前来爬山的人白白地欢喜一场。	赚得行人错喜欢	教人欢喜耐人愁	赚得行人坐相誇	赚得行人空喜欢
她回眸一笑千姿百态娇媚横生。	回眸一笑百媚生	回眸百媚嫣然处	要看回头百媚生	笑并香腮百媚生
金人们无知却频繁地改易国君。	胡虏何知屡易君	狂卒何知亦敛戎	胡虏安知鼎重轻	时来胡虏亦成功
山花依然像当年一样绽开。	野花只作旧时开	野花依旧向人开	寒花只作旧时黄	花开可有旧时香
他告诉我己巳年的事情。	告我己巳年间事	十四年间成底事	盛事谁书己巳年	加我数年祈谢事
风必摧之。	虚弹落惊禽	果落禽惊弹	惊羽落虚弦	落叶惊禽起
人们在花前安排酒宴，热情地为我送行。	酌酒花前送我行	柳边持酒送君行	杯酒流连送我行	却作花前送我行
别看他们力可拔山的外表，我要去除他们却只需要两三个桃子，知道晏婴杀公孙接、田开疆，古冶子等三人的故事吗。	力排南山三壮士	力排剑戟三千士	壮气南山若可排	陇上壮士南安陈
羽化升仙处还留有遗踪。	羽化留馀踪	幻化宁留迹	羽镞半留形	化美见前踪
更有五松名山四季清凉，可消夏寒。	五松名山当夏寒	松萝高镇夏长寒	抚彼长松爱夏寒	名托浮山亦耐寒
随着滚滚东去的江水可以探知大海。	记水辨瀛海	沈水来沧海	水穷沧海畔	炎洲记海隅
还是不要登上那高高的都梁山向北眺望，以免使我更伤心。	莫上都梁第一山	笑上蓬莱第一山	重上绵州第一山	好上黄金第一层
没想到我们已分别廿个春秋。	焉知二十载	二百四十载	负心二十载	相知二十载
北斗星挂在长安城边。	北斗挂城边	北斗望都城	秦城北斗边	北斗挂城头
给老伴儿写了几纸书信。	老妻书数纸	老妻为纸局	尺书虽满纸	老翁书片纸
骑着它完全可以放心大胆地驰骋沙场，甚至可托生死。	真堪托死生	契托死生亲	真当外死生	真堪托此生
不应该丢掉报国之心。	应不废为公	应不废菑畬	应不废诗文	应有不如公
楼前的杨花茫茫，使人调怅。	杨花漠漠愁杀人	杨花漠漠迷春思	风起杨花愁杀人	野花漠漠向人开
拔出白发还有干枯发黄的头发在。	扫除白发黄精在	白发未除豪气在	欲倚黄精消白发	扫空白发非黄精
峥嵘胜过鬼斧神工。	峥嵘如鬼工	峥嵘百兽中	工部独峥嵘	石瘦尽峥嵘
因为远别而积思成梦，梦里悲啼，久唤难醒。	梦为远别啼难唤	归梦难真恨别长	城南远别难为梦	梦中啼唤佳人杳
要归隐请别买沃洲名山。	莫买沃洲山	买断沃洲山	莫买深山隐	沃洲山下路
哪把高官与厚禄耿耿挂于心间。	不是爱封侯	未是爱封侯	何畏不封侯	应不爱封侯
修长的竹枝早早迎接着秋风。	长簟迎风早	方簟午风清	簟冷秋生早	长簟怯风前
而今我三杯老酒下肚，拔剑对舞秋月，硕慨高咏，想起今后的日子，不觉使人涕泪滂沱！	三杯拂剑舞秋月，忽然高咏涕泗涟。	拔剑床头三起舞，茫茫对此独伤神。	马上东风涕泗滂，酒酣拔剑忆王郎。	举杯醉舞时相属，倚瑟悲歌忽怆然。
推托辞让自己那份给更需要的人。	推分固辞让	揣分新辞禄	忺出莫推辞	推分略愚侗
封侯的意念早已丝毫不存。	不作封侯念	不为觅封侯	何患不封侯	不作封侯想
前朝宫廷殿院，如今已是荒丘残垒，野草丛生。	宫庭野草春	野草春千古	庭荒碧草春	庭闱草自春
在猛烈狂疾的大风中才能看得出是不是强健挺拔的草。	疾风知劲草	疾风劲草见	头风愈檄草	风劲帆方疾
荷花凋谢连那擎雨的荷叶也枯萎了。	荷尽已无擎雨盖	雨脚已随荷盖尽	已觉圆荷翠盖倾	小池擎雨已无荷
还会有谁紧敛愁眉再唱一杯？	谁与愁眉唱一杯	欲举一杯谁与持	聊与愁人共一杯	谁与低眉唱此愁
身后文章才会留下我的声名。	身后文章合有名	身后文章替左司	死后遗文有盛名	名世文章能有几
平羌江澄澈的水面倒映着月影。	影入平羌江水流	影入嘉陵江水寒	影落平羌江水中	平羌江水接天流
曾经居于城中的人偏徒幽土。	健儿徒幽土	健儿秋牧马	健儿徙幽土	男儿讵怀土
如今将军功名胜过古人。	今见功名胜古人	二疏今见古人图	功名须似古人贤	义居今见古人风
城内空空如也。	浮云空古城	浮云故垒空	浮云浩今古	寒云覆古城
杭州城外望海楼披着明丽的朝霞。	望海楼明照曙霞	海色空明映赤霞	海上明霞照水红	已有霞光照海楼
竟被权势者从中干扰，不被君王采纳。	翻为权势干	权势集干戈	亦为权势沈	翻操造物权
誓学耿恭在疏勒祈井得泉。	誓令疏勒出飞泉	豁崖风勒下奔泉	疏勒千年出汉泉	汝驱虓虎出飞泉
成双成对的鸟儿正在夕阳下尽情地喧噪鸣叫。	两两时禽噪夕阳	两两文禽话夕阳	翠禽时掠夕阳中	两两蝉声送夕阳
将军们在战争中也是空无所获。	将军空尔为	领徒空尔为	鹤归空尔为	衔杯空尔为
人称谪仙。	号尔谪仙人	人号谪仙流	真是谪仙人	为尔谪仙人
活着就要当人中的俊杰。	生当作人杰	间出生人杰	生当为人杰	来生不作人
乱云低低的在黄昏的地方。	乱云低薄暮	云低结暮烟	低低暮云碧	山云低薄暮
天子身居未央宫。	天子居未央	阍人俟未央	天彝乐未央	天子西居镐
北上之苦。	北上何所苦	叹此北上苦	素娥何所苦	北阮苦多事
大风送来清脆而雄劲的角声，夕阳的余辉照在大旗上，红艳鲜明。	雄风清角劲，落日大旗明。	天寒明堠火，日晚裂旗风。	秋风衰草白，落日大旗丹。	风生群马啸，日落大旗高。
忧愁到来一天也觉得太长。	愁来一日即为长	秋来只为一人长	雨来三日即为霖	秋气一日即为深
使人和畅的春风吹的人心情荡漾，锦筝银烛也只感高堂深深，心中空旷。	春风澹荡摇春心，锦筝银烛高堂深。	绿槐满院结春阴，锦屏银烛高堂深。	春暖翠环歌白雪，夜阑银烛飏青烟。	语风红笑荡春裪，锦瑟心心视佩刀。
竹叶和雄黄酒，我觉得这样就可以过端午了。	蓬城芳草踏初回	马嘶芳草踏香坭	芳草湖边踏软尘	春来芳草踏成蹊
溅起的浪花化作细雨眼前一片氤氲朦胧，水鸟向人俯冲，水的腥气扑面而来。	浪花作雨汀烟湿，沙鸟迎人水气腥。	月出岛烟常带湿，潮回沙气半浮腥。	鸟背岚光过夕汀，碎萍鱼唼水花腥。	山气隔溪浑似雨，沙禽喧浦欲生潮。
西南方露出蔚蓝色天空映照江面清澄。	天缺西南江面清	天堑江城两面环	江天缺月西南落	天汉西南小益东
金缕扇面上所绣的花草争妍斗艳。	金缕小钿花草斗	薄罗金缕燕花牌	蹙金妃子小花囊	小结金钱银缕胜
珍惜山林美趣。	自矜林湍好	自矜花貌好	爱此泉林好	似为林坰好
我在这里向着遥远的洛阳，对着春天的景物说，等我和朋友再相聚的时候明年的春天一定要加倍地还给我一个更美的春色啊！	寄语洛城风日道，明年春色倍还人。	闻道洛城春日好，明朝期发杏园西。	寄与上林花木道，明年春色倍相酬。	劝汝东风一杯酒，明年春色早言归。
灞水浩荡似深情。	灞水流浩浩	惊波流浩浩	清川流浩浩	江流何浩浩
再举手，抚弄着银河的浪涛。	举手弄清浅	寒塘弄清浅	举手弄晴霓	挥手弄晴烟
人们只是活得像幻想中的自己罢了。	不知终日梦为鱼	梦为鱼鸟不能忘	不知终日为谁愁	西海不知终化鱼
那里面描绘的多半是樵夫渔夫。	多半写樵渔	大半是樵渔	相识半樵渔	倚薄似樵渔
她醉而起舞，双眸含情，云鬓微乱，娇媚之态令人心动神摇。	醉舞双眸敛鬓斜	醉舞黄花落鬓毛	伉俪双眉玉鬓斜	顾影低徊敛鬓鬟
妻子和孩子们没想到我还活着。	妻孥怪我在	妻孥浑在眼	妻孥真气在	妻孥应念我
当然，这些都是小节。	小节岂足言	微官岂足言	小节犹堪效	微物岂足惜
天下清平，四海安宁。	澹然四海清	四海尽清澄	四海如清晏	澹然清气通
我曾经说过，自己要像刘邦斩白蛇用的宝剑一样，能够做出一番事业，可我还一事无成，却决心要飞走了。	自言汉剑当飞去	秋空一剑忽飞去	一剑当空又飞去	明年霄汉横飞去
愁猿的哀啼笼罩着翠绿的枫林。	绿枫鸣愁猿	秋浦愁猿夜	枫树坐猿深	愁猿莫夜鸣
如果不是贬官外放，又怎么能饱览各地的奇山异景。	不因迁谪岂能来	诗因迁谪更瑰奇	不是南迁肯独来	不因迁谪到无缘
我鬓发已多见斑白。	我鬓已多白	我已鬓俱白	我已头居白	衰鬓久已白
少年人意气还可以自夸。	少年犹可夸	少年犹昨日	少年夸解事	少年犹若此
广文先生的官职却很清冷。	广文先生官独冷	广文当日官虽冷	谁道广文官独冷	唯有广文官独冷
水中嬉戏的鸭子最先察觉到初春江水的回暖。	春江水暖鸭先知	欲知水暖春江趣	春江水暖鸭喧哗	前江水暖鸭先知
长叹一声，回家吧。	长叹即归路	归路乃长迷	长日叹归欤	我即南归路
我将要踏上大道向西奔往长安。	西归去直道	去来仍直道	西去复东归	石门西去道
世袭为官东蛮中。	冠带理海中	衣冠倾海内	冠带迟南越	冠带中原隔
低头连大气也不敢出。	低头不出气	舌头不出口	白头跳不出	科头不出门
看不厌，看来理解我的只有这敬亭山了。	只有敬亭山	只有青山好	敬亭山色好	那似敬亭山
赤色的火焰烧红了胡天的云。	赤焰烧虏云	山赤火烧云	赤焰熬焦久	赤烧火初残
从秦地出发，一路远去。	悠悠同出秦	悠悠看出峡	悠悠去淮甸	出处竟悠悠
最为可怜的是我如孤雁独自南飞大海。	独怜一雁飞南海	白雁南飞到海滨	鸣雁独飞犹海曲	独雁归飞滞海陬
一起珍惜昌盛的时候辞去官职。	共惜盛时辞阙下	待漏晓辞双阙下	冠佩暂看辞阙下	骑马共谈双阙下
长乐宫钟声消逝在花丛外。	长乐钟声花外尽	长乐钟声雨外知	长乐钟声半入楼	长乐钟声闻去远
靠着灌木丛自由自在地憩息。	依丛适自憩	憩蝶依丛稳	适意方自兹	依栖聊自得
愿意留在水边畅饮的人的鹦鹉杯中。	愿泛金鹦鹉	愿作青鹦鹉	御酒擎鹦鹉	金笼锁鹦鹉
到处是残垣断壁蓬蒿遍野。	处处蓬蒿遍	处处长蒿莱	蓬蒿处士家	蓬蒿行处合
在皇帝左右，又拾遗职掌供奉扈从，代宗以广平王拜天下兵马元帅，先后收复两京势不可挡。	出兵整肃不可当	内相将军不可当	乱兵横杀虽不到	五兵不试归神武
我的魂魄追随着从南方向北奋飞的鸟儿，望着那向北而开的花枝，眼泪为之流不止。	魂随南翥鸟，泪尽北枝花。	泪深南浦草，愁重北梅枝。	鹧鸪南枝鸟，愁随北雁去。	鸟怜南翥好，花恨北枝催。
人们哀叫的声音甚至要把楚地的山震裂。	哀叫楚山裂	猿叫荒山月	哀鸿叫断云	楚山猿乱叫
雪花密密地斜洒落在歌台酒楼上，楼中喝酒的客人酒力发作正微醒着。	密洒歌楼酒力微	南楼酒力初微后	风力尖纤酒力微	日暮楼高酒力微
上书日众奸贼心惊胆战。	当日奸谀皆胆落	危言已落奸邪胆	直使奸谀俱落胆	弹章已落奸谀胆
商贾买卖人忘记了早晨出发。	贾客忘早发	远客贪晨发	江上客不发	旅行宜早发
希望你永远依傍着光亮。	君依光兮妾所愿	君子之车庶所依	愿以馀光照所临	君已去兮妾独生
征妇曾经设想与丈夫、儿子共同生活，即使贫贱却舒心。	妇人依倚子与夫，同居贫贱心亦舒。	诚知此恨人人有，贫贱夫妻百事哀。	丈夫既与世不偶，贫贱肯为人所怜。	古人逆旅岂贫贱，游子长年违室家。
琼筵上飘来了阵阵苏合香。	半拂琼筵苏合香	忆别琼筵苏合香	金箔银屏苏合香	御气馨香苏合启
